Sess-Gd-Occ ID,Session,Min Temp,Max Temp,Avg Wind,Max Wind,Precip (mm),Moon Score
5_14_3,5,4.9,16.73888889,6.342874125,12.48471,0,1
5_15_1,5,2.594444444,18.45,2.924478875,5.41764,0,1
5_15_2,5,0.127777778,22.57222222,2.088924125,6.49938,0,1
5_15_3,5,5.766666667,15.50555556,2.957333375,6.17307,33,1
5_16_1,5,2.594444444,18.45,2.924478875,5.41764,0,1
5_16_2,5,0.127777778,22.57222222,2.088924125,6.49938,0,1
5_16_3,5,5.766666667,15.50555556,2.957333375,6.17307,33,1
5_17_1,5,0.122222222,14.84444444,3.87433525,7.30845,0,1
5_17_2,5,-3.961111111,18.89444444,3.336314875,7.74204,0,1
5_17_3,5,-1.4,23.55,1.160207125,2.465652,0,1
5_18_1,5,9.888888889,21.03888889,3.6866325,8.4036,0,1
5_18_2,5,5.105555556,9.877777778,6.621802125,9.18138,3,1
5_18_3,5,1.694444444,16.46666667,4.379948125,8.04153,0,1
5_19_1,5,1.694444444,16.46666667,4.379948125,8.04153,0,1
5_19_2,6,-2.855555556,20.69444444,1.871570375,6.49491,0,1
5_19_3,6,6.705555556,24.37777778,4.048423125,7.63476,0,1
5_2_1,5,3.177777778,30.05555556,1.17199675,2.613162,0,0
5_2_2,5,6.127777778,28.11111111,2.161785125,6.57984,0,1
5_2_3,5,3.427777778,27.72222222,2.754879625,9.01599,0,1
5_20_1,5,9.888888889,21.03888889,3.6866325,8.4036,0,1
5_20_2,5,5.105555556,9.877777778,6.621802125,9.18138,3,1
5_20_3,5,1.694444444,16.46666667,4.379948125,8.04153,0,1
5_3_1,5,-5.805555556,21.46111111,1.036201875,2.400837,0,1
5_3_2,5,-4.672222222,20.64444444,3.19415025,8.70756,0,1
5_3_3,5,0.044444444,12.65,3.779738875,7.97448,0,1
5_4_1,5,-0.877777778,17.12222222,3.94220475,7.80462,0,0
5_4_2,5,2.522222222,18.21666667,4.627735125,7.61241,0,0
5_4_3,5,0.844444444,22.96111111,3.617813125,6.07473,0,0
5_5_1,5,-4.572222222,14.43888889,2.66892525,6.12837,0,0
5_5_2,5,-3.311111111,17.85555556,2.391505875,6.33846,0,0
5_5_3,5,4.216666667,20.73333333,4.6271205,6.82122,0,0
5_6_1,5,4.444444444,14.87777778,2.98353875,5.49363,3,1
5_6_2,5,0.122222222,14.84444444,3.87433525,7.30845,0,1
5_6_3,5,-3.961111111,18.89444444,3.336314875,7.74204,0,1
5_7_1,5,-4.572222222,14.43888889,2.66892525,6.12837,0,0
5_7_2,5,-3.311111111,17.85555556,2.391505875,6.33846,0,0
5_7_3,5,4.216666667,20.73333333,4.6271205,6.82122,0,0
5_8_1,5,-0.877777778,17.12222222,3.94220475,7.80462,0,0
5_8_2,5,2.522222222,18.21666667,4.627735125,7.61241,0,0
5_8_3,5,0.844444444,22.96111111,3.617813125,6.07473,0,0
6_1_1,6,6.394444444,31.72222222,2.07851275,4.58622,0,1
6_1_2,6,11.08888889,33,2.514766125,7.04919,0,1
6_1_3,6,11.18333333,33.27777778,1.8159375,4.11687,0,1
6_11_1,6,7,27.22222222,3.975822875,7.9566,0,1
6_11_2,6,6.272222222,30.72222222,2.217548375,6.38763,0,0
6_11_3,6,9.155555556,34.16666667,2.366734625,6.45915,0,0
6_12_1,6,7,27.22222222,3.975822875,7.9566,0,1
6_12_2,6,6.272222222,30.72222222,2.217548375,6.38763,0,0
6_12_3,6,9.155555556,34.16666667,2.366734625,6.45915,0,0
6_13_1,6,7.15,34.16666667,2.91335975,6.38316,0,0
6_13_2,6,10.00555556,30.5,3.592147875,8.13987,0,0
6_13_3,6,9.511111111,27.61111111,3.254364875,7.21458,0,0
6_14_1,6,7.15,34.16666667,2.91335975,6.38316,0,0
6_14_2,6,10.00555556,30.5,3.592147875,8.13987,0,0
6_14_3,6,9.511111111,27.61111111,3.254364875,7.21458,0,0
6_15_1,6,6.6,30.22222222,2.934238375,6.55302,0,0
6_15_2,6,6.283333333,29.5,2.63011075,7.1967,0,0
6_15_3,6,7.588888889,30.61111111,1.628253375,4.13922,0,0
6_16_1,6,6.6,30.22222222,2.934238375,6.55302,0,0
6_16_2,6,6.283333333,29.5,2.63011075,7.1967,0,0
6_16_3,6,7.588888889,30.61111111,1.628253375,4.13922,0,0
6_17_1,6,10.66666667,32.83333333,1.563159,3.419103,0,1
6_17_2,6,11.12777778,33.5,2.29992675,6.5262,0,1
6_17_3,6,18.04444444,32.55555556,4.452854357,7.38444,0,1
6_18_1,6,5.333333333,26.77777778,2.371782,4.70691,0,2
6_18_2,6,6.394444444,31.72222222,2.07851275,4.58622,0,1
6_18_3,6,11.08888889,33,2.514766125,7.04919,0,1
6_19_1,6,14.34722222,33.66666667,3.450898536,6.97767,0,1
6_19_2,6,10.65,34.77777778,2.448942714,6.5709,0,2
6_19_3,6,12.70555556,34.77777778,2.420411875,8.68968,0,2
6_2_1,6,14.34722222,33.66666667,3.450898536,6.97767,0,1
6_2_2,6,10.65,34.77777778,2.448942714,6.5709,0,2
6_2_3,6,12.70555556,34.77777778,2.420411875,8.68968,0,2
6_20_1,6,5.333333333,26.77777778,2.371782,4.70691,0,1
6_20_2,6,6.394444444,31.72222222,2.07851275,4.58622,0,1
6_20_3,6,11.08888889,33,2.514766125,7.04919,0,1
6_3_1,6,-2.855555556,20.69444444,1.871570375,6.49491,0,1
6_3_2,6,6.705555556,24.37777778,4.048423125,7.63476,0,1
6_3_3,6,5.094444444,20.28333333,5.215055875,13.26696,0,2
6_4_1,6,6.616666667,30.22222222,3.638039875,7.38444,0,1
6_4_2,6,9.044444444,30.83333333,1.657829875,3.090111,0,1
6_4_3,6,9.977777778,32.16666667,3.122444,6.28035,0,1
6_5_1,6,-2.855555556,20.69444444,1.871570375,6.49491,0,1
6_5_2,6,6.705555556,24.37777778,4.048423125,7.63476,0,1
6_5_3,6,5.094444444,20.28333333,5.215055875,13.26696,0,2
6_6_1,6,10.66666667,32.83333333,1.563159,3.419103,0,1
6_6_2,6,11.12777778,33.5,2.29992675,6.5262,0,1
6_6_3,6,18.04444444,32.55555556,4.452854357,7.38444,0,1
6_7_1,6,6.366666667,22.8,3.296643625,7.20564,0,1
6_7_2,6,6.25,22.28888889,3.03077175,7.37103,0,1
6_7_3,6,8.533333333,26.12777778,4.149203,7.12965,0,1
6_8_1,6,6.616666667,30.22222222,3.638039875,7.38444,0,1
6_8_2,6,9.044444444,30.83333333,1.657829875,3.090111,0,1
6_8_3,6,9.977777778,32.16666667,3.122444,6.28035,0,1
